GE;GERU;RU;POS;LEVEL;TOPIC1;TOPIC2;TOPIC3;IMAGE_FILE;EOL
ცუდი;ЦУДИ;ПЛОХОЙ, ЗЛОЙ;ADJECTIVE;1;RELATIONSHIPS;;;;
მოედანი;МОЭДАНИ;ПЛОЩАДЬ;NOUN;1;NATURE;;;square.png;
გამარჯვება;ГАМАРДЖВЭБА;ПОБЕДА;NOUN;1;MISC;;;;
მზარეული;МЗАРЭУЛИ;ПОВАР;NOUN;1;LIFE;;;cook.png;
ამინდი;АМИНДИ;ПОГОДА;NOUN;1;NATURE;;;weather.png;
დაქალი;ДАКАЛИ;ПОДРУГА (ЖЕН.);NOUN;1;RELATIONSHIPS;;;;
მატარებელი;МАТАРЭБЭЛИ;ПОЕЗД;NOUN;2;LIFE;;;train.png;
თუ შეიძლება;ТУ ШЕЙДЗЛЭБА;ПОЖАЛУЙСТА;PRONOUN;1;MISC;;;;
გეთაყვა;ГЭТАКВА;ПОЖАЛУЙСТА;PRONOUN;1;MISC;;;;
გუშინწინ;ГУШИНЦИН;ПОЗАВЧЕРА;NOUN;1;TIMEANDDATE;;;;
გვიან;ГВИАН;ПОЗДНО;ADVERB;2;TIMEANDDATE;;;;
პირსახოცი;ПИРСАХОЦИ;ПОЛОТЕНЦЕ;NOUN;1;BODYFEELINGS;;;towel.png;
გასაგებია;ГАСАГЭБИА;ПОНЯТНО, ЯСНО;ADVERB;1;MISC;;;;
ზეგ;ЗЭГ;ПОСЛЕЗАВТРА;NOUN;1;TIMEANDDATE;;;;
მაზეგ;МАЗЭГ;ПОСЛЕПОСЛЕЗАВТРА;NOUN;1;TIMEANDDATE;;;;
ელჩი;ЭЛЧИ;ПОСОЛ;NOUN;1;LIFE;;;;
მერე;МЭРЭ;ПОТОМ, ПОСЛЕ;ADVERB;1;TIMEANDDATE;;;;
შემდეგ;ШЕМДЭГ;ПОТОМ, ПОСЛЕ;ADVERB;1;TIMEANDDATE;;;;
იმიტომ რომ;ИМИТОМ РОМ;ПОТОМУ ЧТО;ADVERB;1;MISC;;;;
თითქმის;ТИТКМИС;ПОЧТИ, ОКОЛО;ADVERB;1;MISC;;;;
ამიტომ;АМИТОМ;ПОЭТОМУ;ADVERB;1;MISC;;;;
მართლა;МАРТЛА;ПРАВДА?;NOUN;2;MISC;;;;
გადასარევად;ГАДАСАРЭВАД;ПРЕВОСХОДНО;ADVERB;1;BODYFEELINGS;;;;
დაბრძანდით;ДАБРДЗАНДИТ;ПРИСАЖИВАЙТЕСЬ;VERB;2;PLACEDIRECTION;;;;
სასიამოვნოა;САСИАМОВНОА;ПРИЯТНО (МНЕ);ADVERB;1;BODYFEELINGS;;;;
უბრალოდ;УБРАЛОД;ПРОСТО;ADVERB;1;MISC;;;;
უბრალო;УБРАЛО;ПРОСТОЙ;ADJECTIVE;1;MISC;;;;
გრილი;ГРИЛИ;ПРОХЛАДНЫЙ;ADJECTIVE;2;NATURE;;;;
შებრძანდით;ШЕБРДЗАНДИТ;ПРОХОДИТЕ (ВНУТРЬ);VERB;2;PLACEDIRECTION;;;;
შემობრძანდით;ШЕМОБРДЗАНДИТ;ПРОХОДИТЕ (К НАМ);VERB;2;PLACEDIRECTION;;;;
მიბრძანდით;МИБРДЗАНДИТ;ПРОХОДИТЕ (ТУДА);VERB;2;PLACEDIRECTION;;;;
მობრძანდით;МОБРДЗАНДИТ;ПРОХОДИТЕ К НАМ;VERB;2;PLACEDIRECTION;;;;
გასულ;ГАСУЛ;ПРОШЛЫЙ;ADJECTIVE;1;TIMEANDDATE;;;;
გთხოვთ;ГТХОВТ;ПРОШУ ВАС;ADVERB;1;MISC;;;;
სამსახური;САМСАХУРИ;РАБОТА;NOUN;1;PLACEDIRECTION;;;;
სამუშაო;САМУШАО;РАБОТА;NOUN;1;PLACEDIRECTION;;;;
მუშა;МУША;РАБОЧИЙ;NOUN;1;LIFE;;;worker.png;
ჭრელი;ЧРЭЛИ;РАЗНОЦВЕТНЫЙ;ADJECTIVE;1;COLOR;;;multicolored.png;
ადრე;АДРЭ;РАНО;ADVERB;2;TIMEANDDATE;;;;
ფასდაკლება;ПАЛДАКЛЭБА;РАСПРОДАЖА;NOUN;1;LIFE;;;sale.png;
ბავშვი;БАВШВИ;РЕБЕНОК (ДИТЯ);NOUN;1;RELATIONSHIPS;;;;
შვილი;ШВИЛИ;РЕБЕНОК (РОДНОЙ);NOUN;1;RELATIONSHIPS;;;;
ბოლოკი;БОЛОКИ;РЕДИС;NOUN;1;MEAL;;;radish.png;
რესტორანი;РЭСТОРАНИ;РЕСТОРАН;NOUN;1;PLACEDIRECTION;;;restaurant.png;
მშობელი;МШОБЭЛИ;РОДИТЕЛЬ;NOUN;1;RELATIONSHIPS;;;;
მშობლიური ენა;МШОБЛИУРИ ЭНА;РОДНОЙ ЯЗЫК;NOUN;1;MISC;;;;
ნათესავი;НАТЭСАВИ;РОДСТВЕННИК;NOUN;1;RELATIONSHIPS;;;;
ვარდისფერი;ВАРДИСПЭРИ;РОЗОВЫЙ;ADJECTIVE;1;COLOR;;;pink.png;
პირი;ПИРИ;РОТ;NOUN;1;BODYFEELINGS;;;mouth.png;
ბაღი;БАГИ;САД;NOUN;1;NATURE;;;garden.png;
ხელსახოცი;ХЭЛСАХОЦИ;САЛФЕТКА;NOUN;1;BODYFEELINGS;;;napkin.png;
თვითმფრინავი;ТВИТМПРИНАВИ;САМОЛЕТ;NOUN;2;LIFE;;;plane.png;
შაქარი;ШАКАРИ;САХАР;NOUN;1;MEAL;;;sugar.png;
ბამბის ნაყინი;БАМБИС НАКИНИ;САХАРНАЯ ВАТА;NOUN;1;MEAL;;;cotton_candy.png;
ჭარხალი;ЧАРХАЛИ;СВЕКЛА;NOUN;1;MEAL;;;beetroot.png;
ღია;ГИА;СВЕТЛЫЙ;ADJECTIVE;1;COLOR;;;;
ღორი;ГОРИ;СВИНЬЯ;NOUN;1;NATURE;;;pig.png;
დღეს;ДГЭС;СЕГОДНЯ;ADVERB;1;TIMEANDDATE;;;;
ოჯახი;ОДЖАХИ;СЕМЬЯ;NOUN;1;RELATIONSHIPS;;;;
გული;ГУЛИ;СЕРДЦЕ;NOUN;1;BODYFEELINGS;;;heart.png;
ვერცხლისფერი;ВЭРЦХЛИСПЭРИ;СЕРЕБРИСТЫЙ;ADJECTIVE;1;COLOR;;;silver.png;
შუა;ШУА;СЕРЕДИНА;NOUN;2;PLACEDIRECTION;;;;
საყურე;САКУРЭ;СЕРЕЖКА;NOUN;1;BODYFEELINGS;;;ear_ring.png;
რუხი;РУХИ;СЕРЫЙ;ADJECTIVE;1;COLOR;;;grey.png;
და;ДА;СЕСТРА;NOUN;1;RELATIONSHIPS;;;;
ლურჯი;ЛУРДЖИ;СИНИЙ;ADJECTIVE;1;COLOR;;;blue.png;
ფასდაკლება;ПАЛДАКЛЭБА;СКИДКА;NOUN;1;LIFE;;;discount.png;
მალე;МАЛЭ;СКОРО;ADVERB;1;TIMEANDDATE;;;;
საქონელი;САКОНЭЛИ;СКОТ;NOUN;1;NATURE;;;livestock.png;
შემდეგი;ШЭМДЭГИ;СЛЕДУЮЩИЙ;ADJECTIVE;1;TIMEANDDATE;;;;
ქლიავი;КЛИАВИ;СЛИВА;NOUN;1;MEAL;;;plum.png;
გარეთ;ГАРЭТ;СНАРУЖИ;ADVERB;1;PLACEDIRECTION;;;;
თოვლი;ТОВЛИ;СНЕГ;NOUN;2;NATURE;;;snow.png;
წვენი;ЦВЭНИ;СОК;NOUN;1;MEAL;;;juice.png;
მზე;МЗЭ;СОЛНЦЕ;NOUN;1;NATURE;;;sun.png;
მარილი;МАРИЛИ;СОЛЬ;NOUN;1;MEAL;;;salt.png;
მეზობელი;МЭЗОБЭЛИ;СОСЕД;NOUN;1;RELATIONSHIPS;;;;
სპორტ-დარბაზი;СПОРТ-ДАРБАЗИ;СПОРТЗАЛ;NOUN;1;PLACEDIRECTION;;;gym.png;
ძველი;ЗДВЭЛИ;СТАРЫЙ;ADJECTIVE;1;MISC;;;;
დედაქალაქი;ДЭДАКАЛАКИ;СТОЛИЦА;NOUN;1;PLACEDIRECTION;;;;
ქვეყანა;КВЭКАНА;СТРАНА;NOUN;1;PLACEDIRECTION;;;;
ჩანთა;ЧАНТА;СУМКА;NOUN;1;MISC;;;bag.png;
მეუღლე;МЭУГЛЭ;СУПРУГ(А);NOUN;1;RELATIONSHIPS;;;;
ანგარიში;АНГАРИШИ;СЧЕТ (В РЕСТОРАНЕ);NOUN;2;MISC;;;receipt.png;
ვაჟიშვილი;ВАЖИШВИЛИ;СЫН;NOUN;1;RELATIONSHIPS;;;;
აქეთ;АКЭТ;СЮДА;ADVERB;2;PLACEDIRECTION;;;;
ასეთი;АСЭТИ;ТАКОЙ;ADJECTIVE;2;MISC;;;;
იქ;ИК;ТАМ;ADVERB;1;PLACEDIRECTION;;;;
შენი;ШЭНИ;ТВОЙ;PRONOUN;1;RELATIONSHIPS;;;;
ხბო;ХБО;ТЕЛЕНОК;NOUN;1;NATURE;;;veal.png;
მუქი;МУКИ;ТЕМНЫЙ;ADJECTIVE;1;COLOR;;;;
ახლა;АХЛА;ТЕПЕРЬ/СЕЙЧАС;ADVERB;1;TIMEANDDATE;;;;
ეხლა;ЭХЛА;ТЕПЕРЬ/СЕЙЧАС;ADVERB;1;TIMEANDDATE;;;;
სითბო;САТБО;ТЕПЛО;NOUN;1;NATURE;;;;
ბიცოლა;БИЦОЛА;ТЁТЯ (ЖЕНА ДЯДИ);NOUN;1;RELATIONSHIPS;;;;
დეიდა;ДЭЙДА;ТЁТЯ (ПО МАТЕРИ);NOUN;1;RELATIONSHIPS;;;;
მამიდა;МАМИДА;ТЁТЯ (ПО ОТЦУ);NOUN;1;RELATIONSHIPS;;;;
ამხანაგი;АМХАНАГИ;ТОВАРИЩ;NOUN;1;RELATIONSHIPS;;;comrade.png;
მხოლოდ;МХОЛОД;ТОЛЬКО;ADVERB;1;MISC;;;;
ზუსტად;ЗУСТАД;ТОЧНО, РОВНО;ADVERB;2;MISC;;;;
იქით;ИКИТ;ТУДА;ADVERB;2;PLACEDIRECTION;;;;
ნისლი;НИСЛИ;ТУМАН;NOUN;2;NATURE;;;fog.png;
შენ;ШЭН;ТЫ;PRONOUN;1;RELATIONSHIPS;;;;
უკვე;УКВЭ;УЖЕ;ADVERB;1;TIMEANDDATE;;;;
ძმარი;ДЗМАРИ;УКСУС;NOUN;1;MEAL;;;;
ქუჩა;КУЧА;УЛИЦА;NOUN;1;PLACEDIRECTION;;;street.png;
ვაშა;ВАША;УРА!;INTERJECTION;1;LIFE;;;;
გაკვეთილი;ГАКВЭТИЛИ;УРОК;NOUN;2;MISC;;;;
დაღლილი;ДАГЛИЛИ;УСТАВШИЙ;ADJECTIVE;1;BODYFEELINGS;;;tired.png;
